OBJECTID,PRICE_NODE,Node_Type,PRICEND_ID,Rec_ID,ACTIV_NODE,Plant,Unit,Substation,ISO_Zone,County,State,Plant_ID,Unit_ID,Settlement,Roll_LMP,Roll_WW,NW_LMP,RT_LMP,Latitude,Longitude
-1,FORT_CALHOUN,Generator,1171118,16049,Y,Fort Calhoun,1, ,OPPD_OPPD,Washington,NE,74417,396284,FORT_CALHOUN,20.820000000000000,17.670000000000002,24.539999999999999,0.000000000000000,41.520416000000068,-96.077011999999968
-1,FREM_50T,Generator,1171115,16269,Y,Lon Wright,5OT, ,OPPD_OPPD,Dodge,NE,1406,585706,FREM_50T,21.280000000000001,18.680000000000000,23.370000000000001,0.000000000000000,41.427746000000070,-96.462058999999954
-1,FREM_6,Generator,1171104,16270,Y,Lon Wright,6, ,OPPD_OPPD,Dodge,NE,1406,388162,FREM_6,21.340000000000000,18.719999999999999,23.430000000000000,0.000000000000000,41.427746000000070,-96.462058999999954
-1,FREM_7,Generator,1171105,16271,Y,Lon Wright,7, ,OPPD_OPPD,Dodge,NE,1406,388163,FREM_7,21.329999999999998,18.719999999999999,23.420000000000002,0.000000000000000,41.427746000000070,-96.462058999999954
-1,FREM_8,Generator,1171116,16272,Y,Lon Wright,8, ,OPPD_OPPD,Dodge,NE,1406,388164,FREM_8,21.280000000000001,18.680000000000000,23.370000000000001,0.000000000000000,41.427746000000070,-96.462058999999954
-1,GATEWAY_LOAD,Zone,1128923,16678,Y, , , ,AEPM_CSWS,Rusk,TX,-99,-99,GATEWAY_LOAD,25.410000000000000,24.520000000000000,26.120000000000001,0.000000000000000,32.017641000000026,-94.619744999999966
-1,GATEWAY_PLANT,Generator,888231,16679,Y,Tenaska Gateway,CC, ,AEPM_CSWS,Rusk,TX,77674,583644,GATEWAY_PLANT,25.410000000000000,24.520000000000000,26.120000000000001,0.000000000000000,32.017641000000026,-94.619744999999966
-1,GRDA_GRDA,Zone,887622,17585,Y, , , ,GRDA_GRDA,Christian,MO,-99,-99,GRDA_GRDA,23.850000000000001,21.960000000000001,25.359999999999999,0.000000000000000,37.045288000000028,-92.990347999999983
-1,GRDA_UNIT_1,Generator,887658,17586,Y,Grand River Energy Center,1, ,GRDA_GRDA,Mayes,OK,2274,392236,GRDA_UNIT_1,25.000000000000000,22.789999999999999,26.989999999999998,0.000000000000000,36.190002000000050,-95.289059999999949
-1,GRDA_UNIT_2,Generator,887659,17587,Y,Grand River Energy Center,2, ,GRDA_GRDA,Mayes,OK,2274,392237,GRDA_UNIT_2,24.690000000000001,22.370000000000001,26.789999999999999,0.000000000000000,36.190002000000050,-95.289059999999949
-1,GSEC_SPS,Zone,889530,17889,Y, , , ,SPS_SPS,Oldham,TX,-99,-99,GSEC_SPS,19.340000000000000,14.060000000000000,23.559999999999999,0.000000000000000,35.195116000000041,-102.903013999999985
-1,GSPWR,Generator,1502764,17895,Y,Golden Spread Panhandle Wind Ranch,WT1 34, ,SPS_SPS,Oldham,TX,1334096,1334098,GSPWR,12.800000000000001,5.710000000000000,18.579999999999998,0.000000000000000,35.234358000000043,-102.217127999999946
